yr,area,Season,fz,pounds,effort
1966,3,1,3,823030,1596.17
1966,3,2,1,5744164,11556.91
1966,3,2,2,4677690,5267.93
1966,3,2,3,524995,1069.22
1966,3,3,1,7307127,20727.28
1966,3,3,2,2282667,2929.14
1966,3,3,3,853216,1231.03
1966,4,1,1,833161,1865.98
1966,4,1,2,1383146,3640.75
1966,4,1,3,169460,368.49
1966,4,2,1,2101970,4261.32
1966,4,2,2,10520795,14263.79
1966,4,2,3,89435,257.8
1966,4,3,1,1908112,2898.37
1966,4,3,2,11877290,18064.6
1966,4,3,3,451967,684.19
1967,1,1,1,674114,1375.71
1967,1,1,2,4014898,10246.68
1967,1,1,3,27185,61.48
1967,1,2,1,559402,788.6
1967,1,2,2,1755662,2654.75
1967,1,2,3,8471,11.64
1967,1,3,1,361019,412.95
1967,1,3,2,2555744,4455.64
1967,1,3,3,2438,6.8
1967,2,1,1,90370,253.16
1967,2,1,2,284300,746.88
1967,2,1,3,168532,319.93
1967,2,2,1,2571583,1880.28
1967,2,2,2,2962125,2594.29
1967,2,2,3,99164,79.67
1967,2,3,1,631836,984.61
1967,2,3,2,1639885,2043.09
1967,2,3,3,437612,441.9
1967,3,1,1,1714178,4910.09
1967,3,1,2,766254,1928.93
1967,3,1,3,819785,2393.96
1967,3,2,1,8514303,16423.6
1967,3,2,2,6929215,5001.19
1967,3,2,3,453949,487.09
1967,3,3,1,5887020,14195.86
1967,3,3,2,1629530,2210.91
1967,3,3,3,687481,892.14
1967,4,1,1,501183,1803.51
1967,4,1,2,920687,3312.84
1967,4,1,3,217988,623.61
1967,4,2,1,2608913,2311.83
1967,4,2,2,27428985,22759.26
1967,4,2,3,441907,350.88
1967,4,3,1,2125812,3174.9
1967,4,3,2,14368677,16906.95
1967,4,3,3,2833146,2670.11
1968,1,1,1,422189,500.98
1968,1,1,2,4213277,8998.67
1968,1,1,3,14659,29.27
1968,1,2,1,825734,984.98
1968,1,2,2,1607157,3721
1968,1,2,3,2576,7.3
1968,1,3,1,525101,421.49
1968,1,3,2,3881628,4592.43
1968,1,3,3,0,0
1968,2,1,1,127903,291.6
1968,2,1,2,548931,1149.86
1968,2,1,3,158649,281.55
1968,2,2,1,2510246,2732
1968,2,2,2,4389706,4731.82
1968,2,2,3,67278,206.47
1968,2,3,1,453302,766.76
1968,2,3,2,2297004,3196.99
1968,2,3,3,85236,148.29
1968,3,1,1,1681027,4528.65
1968,3,1,2,875377,1765.15
1968,3,1,3,1704487,4471.82
1968,3,2,1,4614900,8734.54
1968,3,2,2,4816011,5415.55
1968,3,2,3,157234,395.71
1968,3,3,1,7126555,14740.03
1968,3,3,2,2595100,3030.6
1968,3,3,3,174775,241.41
1968,4,1,1,446864,1444.63
1968,4,1,2,1009279,3119.57
1968,4,1,3,218908,618.04
1968,4,2,1,2618491,5046.18
1968,4,2,2,13127117,16445.58
1968,4,2,3,19085,53.48
1968,4,3,1,4306693,6998
1968,4,3,2,10985775,17464.82
1968,4,3,3,76150,111.83
1969,1,1,1,360330,498.16
1969,1,1,2,4126283,8189.5
1969,1,1,3,20097,43.16
1969,1,2,1,479269,850.9
1969,1,2,2,1718034,3591.64
1969,1,2,3,42774,63.18
1969,1,3,1,386343,425.99
1969,1,3,2,3701165,4874.65
1969,1,3,3,62208,99.57
1969,2,1,1,73991,186.4
1969,2,1,2,417855,1049.33
1969,2,1,3,304220,612.23
1969,2,2,1,2696172,7500.11
1969,2,2,2,3717586,4356.67
1969,2,2,3,154515,269.87
1969,2,3,1,2423672,2633
1969,2,3,2,1741665,2087.12
1969,2,3,3,293145,233.3
1969,3,1,1,1700181,4518.38
1969,3,1,2,1521700,4384.08
1969,3,1,3,735685,2941.02
1969,3,2,1,5373681,9411.6
