SUBAREA,YEARU,CW,jd,PRICEPPND
17,2008,0,5,222.8
18,2008,0,5,58.1111111111111
11,2004,1,5,267.5
12,2004,1,5,193.333333333333
13,2004,1,5,71.9444444444444
14,2004,1,5,64.8260869565217
15,2004,1,5,60
16,2004,1,5,105
17,2004,1,5,176.294117647059
18,2004,1,5,163.904761904762
19,2004,1,5,330
11,2005,1,5,230.5
12,2005,1,5,143.333333333333
13,2005,1,5,118.3
14,2005,1,5,50
15,2005,1,5,161.923076923077
16,2005,1,5,98.3333333333333
17,2005,1,5,208
18,2005,1,5,189.5
19,2005,1,5,313.846153846154
21,2005,1,5,441.75
11,2006,1,5,228
12,2006,1,5,102.333333333333
13,2006,1,5,106.25
14,2006,1,5,217.25
15,2006,1,5,129.285714285714
16,2006,1,5,117.5
17,2006,1,5,171.4
18,2006,1,5,136
19,2006,1,5,378.478260869565
20,2006,1,5,325
13,2007,1,5,128.4375
17,2007,1,5,170.5
18,2007,1,5,52.75
21,2007,1,5,295.5
11,2009,1,5,180
12,2009,1,5,560.6
13,2009,1,5,127.659574468085
14,2009,1,5,100.4
16,2009,1,5,103.75
17,2009,1,5,167.090909090909
11,2010,1,5,237.5
12,2010,1,5,105
13,2010,1,5,93.7777777777778
14,2010,1,5,78.75
15,2010,1,5,112.5
16,2010,1,5,137.777777777778
17,2010,1,5,215.352941176471
18,2010,1,5,161.875
11,2011,1,5,316.785714285714
12,2011,1,5,105
13,2011,1,5,112.931034482759
14,2011,1,5,101.666666666667
17,2011,1,5,245.727272727273
18,2011,1,5,59.3333333333333
19,2011,1,5,430
13,2008,0,6,89.0625
14,2008,0,6,81.875
18,2008,0,6,108.833333333333
19,2008,0,6,318
11,2004,1,6,295
13,2004,1,6,137
14,2004,1,6,112.307692307692
15,2004,1,6,63.75
16,2004,1,6,85
17,2004,1,6,171.935483870968
19,2004,1,6,252.3
11,2005,1,6,273.5
12,2005,1,6,59
13,2005,1,6,107.5
14,2005,1,6,141.666666666667
15,2005,1,6,267.5
16,2005,1,6,177.142857142857
17,2005,1,6,230.935483870968
19,2005,1,6,325
20,2005,1,6,491
21,2005,1,6,345.833333333333
11,2006,1,6,115
12,2006,1,6,101.666666666667
13,2006,1,6,201.115384615385
14,2006,1,6,101.666666666667
15,2006,1,6,103.333333333333
16,2006,1,6,146.666666666667
17,2006,1,6,137.333333333333
18,2006,1,6,161.454545454545
20,2006,1,6,373.75
21,2006,1,6,340.2
13,2007,1,6,56.6666666666667
14,2007,1,6,68.75
15,2007,1,6,123.75
17,2007,1,6,172.25
18,2007,1,6,52.75
11,2009,1,6,182.5
12,2009,1,6,85.625
13,2009,1,6,122
14,2009,1,6,138.888888888889
15,2009,1,6,100
17,2009,1,6,149.466666666667
18,2009,1,6,80
19,2009,1,6,275.923076923077
21,2009,1,6,332.058823529412
12,2010,1,6,105
13,2010,1,6,108.409090909091
14,2010,1,6,110.192307692308
15,2010,1,6,138
16,2010,1,6,73.3333333333333
17,2010,1,6,207.714285714286
18,2010,1,6,63.3333333333333
11,2011,1,6,341.666666666667
13,2011,1,6,119.166666666667
14,2011,1,6,102.142857142857
15,2011,1,6,150.882352941176
17,2011,1,6,207.928571428571
18,2011,1,6,103
11,2004,1,7,255.9375
12,2004,1,7,353.75
13,2004,1,7,123.75
14,2004,1,7,193.4
15,2004,1,7,356.714285714286
16,2004,1,7,110
17,2004,1,7,160
18,2004,1,7,247
20,2004,1,7,369.444444444444
21,2004,1,7,444.210526315789
11,2005,1,7,271.25
13,2005,1,7,215.5
14,2005,1,7,169.342105263158
15,2005,1,7,125.75
16,2005,1,7,143.541666666667
18,2005,1,7,473.8
19,2005,1,7,235.428571428571
11,2006,1,7,324
12,2006,1,7,102.777777777778
13,2006,1,7,102.962962962963
14,2006,1,7,125
15,2006,1,7,90.8333333333333
16,2006,1,7,152.5
17,2006,1,7,167.928571428571
18,2006,1,7,160
13,2007,1,7,66
17,2007,1,7,169.545454545455
19,2007,1,7,293
11,2008,1,7,256.25
12,2008,1,7,85
13,2008,1,7,123.166666666667
14,2008,1,7,188.4375
15,2008,1,7,100
16,2008,1,7,91.6666666666667
18,2008,1,7,65.1818181818182
11,2009,1,7,110
12,2009,1,7,130
13,2009,1,7,156.5
14,2009,1,7,107.5
17,2009,1,7,138.333333333333
18,2009,1,7,134.833333333333
11,2010,1,7,206.666666666667
12,2010,1,7,135
13,2010,1,7,100.25
14,2010,1,7,109.75
15,2010,1,7,95.625
16,2010,1,7,40
17,2010,1,7,214.529411764706
18,2010,1,7,215
11,2011,1,7,405
12,2011,1,7,325
13,2011,1,7,93.6363636363636
14,2011,1,7,98.3333333333333
15,2011,1,7,133.125
16,2011,1,7,180
17,2011,1,7,293.785714285714
18,2011,1,7,75
19,2011,1,7,318.363636363636
11,2004,1,8,246.666666666667
13,2004,1,8,59.6875
14,2004,1,8,248.333333333333
15,2004,1,8,60
16,2004,1,8,246.260869565217
17,2004,1,8,157.777777777778
21,2004,1,8,369.444444444444
13,2005,1,8,145.933333333333
14,2005,1,8,40
16,2005,1,8,60
21,2005,1,8,451.25
13,2006,1,8,97
14,2006,1,8,102.142857142857
16,2006,1,8,115
18,2006,1,8,212
11,2008,1,8,303.333333333333
12,2008,1,8,140
13,2008,1,8,137.516129032258
14,2008,1,8,87.5
15,2008,1,8,77.1428571428571
16,2008,1,8,91.6666666666667
17,2008,1,8,188.8
18,2008,1,8,59.6666666666667
21,2008,1,8,422.333333333333
11,2009,1,8,196.363636363636
12,2009,1,8,112.5
13,2009,1,8,104.210526315789
14,2009,1,8,111.875
17,2009,1,8,161.4375
18,2009,1,8,149.4
19,2009,1,8,323
20,2009,1,8,350
21,2009,1,8,280
11,2010,1,8,200
12,2010,1,8,105
13,2010,1,8,120
14,2010,1,8,113
15,2010,1,8,263.6875
